Date,US LT (20Y) Corporate Bonds (TR),US LT (20Y) Government Bonds (TR),US Intermediate-term (5Y) Government Bonds (TR),US (30-Day) Treasury Bills,AUSTRALIA Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),JAPAN Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),Gold Return,CANADA Standard (Large+Mid Cap),US Large-Cap Stocks (TR),US Small-Cap Stocks (TR)
Aug-81,-0.0345,-0.0386,-0.0178,0.0128,0.006,0.0278,-0.0148,-0.06,0.0386,0.0433,0.0468,0.0023,-0.0577,-0.0684
Sep-81,-0.0199,-0.0145,0.0164,0.0124,-0.0933,-0.0945,-0.0079,-0.2744,-0.0946,-0.18,0.0088,-0.1454,-0.0493,-0.0733
Oct-81,0.0521,0.0829,0.0611,0.0121,-0.0592,0.039,0.0301,0.0508,-0.0011,0.0554,-0.0041,-0.025,0.0540,0.0742
Nov-81,0.1267,0.141,0.0624,0.0107,0.0963,0.1216,0.0563,0.1771,0.0909,0.1921,-0.0293,0.1321,0.0413,0.0276
Dec-81,-0.058,-0.0713,-0.0142,0.0087,-0.016,-0.0339,-0.0441,-0.0385,0.016,-0.0419,-0.041,-0.0487,-0.0256,-0.0220
Jan-82,-0.0129,0.0046,0.005,0.008,-0.1106,0.0143,-0.0098,-0.011,-0.0169,0.0471,-0.0264,-0.0881,-0.0131,-0.0196
Feb-82,0.0312,0.0182,0.0148,0.0092,-0.107,-0.0392,-0.0125,-0.1238,-0.0798,-0.073,-0.063,-0.0776,-0.0559,-0.0296
Mar-82,0.0306,0.0231,0.0042,0.0098,-0.0769,-0.0033,0.011,-0.0681,-0.0962,0.016,-0.1175,-0.0601,-0.0052,-0.0086
Apr-82,0.0338,0.0373,0.0299,0.0113,0.1271,0.0301,0.0355,0.1743,0.0888,0.0241,0.1289,-0.0084,0.0452,0.0383
May-82,0.0245,0.0034,0.0146,0.0106,-0.0145,-0.0013,-0.0221,0.0931,-0.0385,0.0321,-0.0997,-0.0206,-0.0341,-0.0248
Jun-82,-0.0468,-0.0223,-0.0135,0.0096,-0.0879,-0.0812,-0.0674,-0.1226,-0.0604,-0.0641,-0.0238,-0.1355,-0.0150,-0.0159
Jul-82,0.054,0.0501,0.0464,0.0105,-0.0357,0.0206,0.0018,-0.0686,-0.0374,0.035,0.08,0.0647,-0.0178,-0.0015
Aug-82,0.0837,0.0781,0.0469,0.0076,0.0203,0.0056,-0.0272,-0.1283,0.0055,0.0148,0.2001,0.1786,0.1214,0.0698
Sep-82,0.0623,0.0618,0.0325,0.0051,0.0223,0.0224,0.0418,-0.1345,-0.0384,0.0464,-0.0352,-0.0131,0.0125,0.0327
Oct-82,0.0759,0.0634,0.0531,0.0059,-0.0018,0.012,-0.022,-0.2103,0.0036,0.0176,0.0661,0.1132,0.1151,0.1305
Nov-82,0.0201,-0.0002,0.008,0.0063,-0.0145,0.0157,0.0558,-0.0508,0.1851,-0.0283,0.0301,0.0145,0.0404,0.0779
Dec-82,0.0108,0.0312,0.0185,0.0067,0.0381,0.05,0.1153,0.1599,0.1134,0.0135,0.0479,0.0904,0.0193,0.0132
Jan-83,-0.0094,-0.0309,0.0007,0.0069,0.1033,0.0015,-0.0372,0.116,-0.0415,-0.0159,0.0932,0.0306,0.0372,0.0628
Feb-83,0.0428,0.0492,0.0252,0.0062,-0.0771,0.0386,0.0844,0.1446,0.0163,0.0047,-0.1822,0.0363,0.0229,0.0712
